pn,un_cc_ds,wn_cc_ds,u_pacceoc/cc_ds,w_pacceoc/cc_ds,un_s_ds,w_s_ds,un_eacr_ds,w_eacr_ds,tps
350011,20,5,17,4.25,34.28571429,8.571428571,10,2.5,20.32142857
350015,23.33333333,5.833333333,17,4.25,34.28571429,8.571428571,60,15,33.6547619
350019,60,15,28,7,48.57142857,12.14285714,0,0,34.14285714
350070,66.66666667,16.66666667,21,5.25,46.66666667,11.66666667,30,7.5,41.08333333
360001,56.66666667,14.16666667,30,7.5,71.42857143,17.85714286,0,0,39.52380952
360002,40,10,62,15.5,43.33333333,10.83333333,40,10,46.33333333
360003,73.33333333,18.33333333,16,4,27.14285714,6.785714286,0,0,29.11904762
360006,13.33333333,3.333333333,38,9.5,42.85714286,10.71428571,0,0,23.54761905
360008,26.66666667,6.666666667,52,13,21.42857143,5.357142857,0,0,25.02380952
360009,46.66666667,11.66666667,23,5.75,50,12.5,0,0,29.91666667
360010,63.33333333,15.83333333,38,9.5,80,20,0,0,45.33333333
360011,60,15,40,10,58.57142857,14.64285714,0,0,39.64285714
360012,73.33333333,18.33333333,39,9.75,40,10,10,2.5,40.58333333
360013,0,0,59,14.75,100,25,0,0,39.75
360014,15,3.75,38,9.5,93.33333333,23.33333333,70,17.5,54.08333333
360016,100,25,46,11.5,80,20,0,0,56.5
360017,30,7.5,23,5.75,42.85714286,10.71428571,0,0,23.96428571
360020,33.33333333,8.333333333,29,7.25,44.28571429,11.07142857,0,0,26.6547619
360025,56.66666667,14.16666667,25,6.25,65,16.25,0,0,36.66666667
360026,40,10,22,5.5,86.66666667,21.66666667,0,0,37.16666667
360027,66.66666667,16.66666667,15,3.75,52.85714286,13.21428571,0,0,33.63095238
360029,20,5,49,12.25,50,12.5,0,0,29.75
360032,60,15,29,7.25,100,25,30,7.5,54.75
360035,40,10,13,3.25,31.42857143,7.857142857,20,5,26.10714286
360036,43.33333333,10.83333333,33,8.25,76,19,20,5,43.08333333
360037,23.33333333,5.833333333,53,13.25,60,15,0,0,34.08333333
360039,46.66666667,11.66666667,33,8.25,37.14285714,9.285714286,10,2.5,31.70238095
360040,60,15,37,9.25,47.5,11.875,0,0,36.125
360041,66.66666667,16.66666667,23,5.75,50,12.5,10,2.5,37.41666667
360044,56.66666667,14.16666667,27,6.75,56.66666667,14.16666667,10,2.5,37.58333333
360046,0,0,48,12,80,20,60,15,47
360048,43.33333333,10.83333333,17,4.25,31.66666667,7.916666667,0,0,23
360051,73.33333333,18.33333333,33,8.25,44.28571429,11.07142857,0,0,37.6547619
360052,53.33333333,13.33333333,22,5.5,51.42857143,12.85714286,0,0,31.69047619
360054,56.66666667,14.16666667,20,5,80,20,0,0,39.16666667
360055,80,20,15,3.75,37.14285714,9.285714286,0,0,33.03571429
360056,53.33333333,13.33333333,78,19.5,47.14285714,11.78571429,10,2.5,47.11904762
360058,53.33333333,13.33333333,49,12.25,63.33333333,15.83333333,0,0,41.41666667
360059,53.33333333,13.33333333,28,7,38.57142857,9.642857143,0,0,29.97619048
360064,30,7.5,12,3,40,10,0,0,20.5
360065,46.66666667,11.66666667,50,12.5,76.66666667,19.16666667,50,12.5,55.83333333
360066,90,22.5,41,10.25,45.71428571,11.42857143,0,0,44.17857143
360068,66.66666667,16.66666667,19,4.75,57.14285714,14.28571429,10,2.5,38.20238095
360070,56.66666667,14.16666667,18,4.5,48.57142857,12.14285714,0,0,30.80952381
360072,40,10,46,11.5,27.14285714,6.785714286,0,0,28.28571429
360074,66.66666667,16.66666667,37,9.25,57.14285714,14.28571429,0,0,40.20238095
360075,83.33333333,20.83333333,33,8.25,57.5,14.375,20,5,48.45833333
360076,16.66666667,4.166666667,36,9,87.14285714,21.78571429,0,0,34.95238095
360077,100,25,40,10,44.28571429,11.07142857,0,0,46.07142857
360078,16.66666667,4.166666667,22,5.5,24.28571429,6.071428571,20,5,20.73809524
360079,36.66666667,9.166666667,47,11.75,50,12.5,0,0,33.41666667
360080,40,10,25,6.25,57.5,14.375,0,0,30.625
360081,50,12.5,39,9.75,68.57142857,17.14285714,0,0,39.39285714
360082,50,12.5,58,14.5,40,10,0,0,37
360084,56.66666667,14.16666667,23,5.75,32.85714286,8.214285714,0,0,28.13095238
360085,63.33333333,15.83333333,31,7.75,50,12.5,0,0,36.08333333
360086,66.66666667,16.66666667,18,4.5,57.14285714,14.28571429,0,0,35.45238095
360087,45,15,44,14.66666667,Not Available,Not Available,30,10,39.66666667
360089,45,11.25,64,16,80,20,30,7.5,54.75
360090,56.66666667,14.16666667,32,8,42.85714286,10.71428571,10,2.5,35.38095238
360091,50,12.5,38,9.5,54.28571429,13.57142857,0,0,35.57142857
360092,15,3.75,41,10.25,80,20,30,7.5,41.5
360095,40,10,51,12.75,77.14285714,19.28571429,10,2.5,44.53571429
360096,70,17.5,45,11.25,92,23,50,12.5,64.25
360098,96.66666667,24.16666667,22,5.5,42.85714286,10.71428571,10,2.5,42.88095238
360107,50,12.5,63,15.75,86.66666667,21.66666667,0,0,49.91666667
360109,50,16.66666667,45,15,Not Available,Not Available,70,23.33333333,55
360112,63.33333333,15.83333333,16,4,35.71428571,8.928571429,0,0,28.76190476
360118,20,5,23,5.75,58.57142857,14.64285714,20,5,30.39285714
360121,6.666666667,1.666666667,51,12.75,46.66666667,11.66666667,0,0,26.08333333
360123,63.33333333,15.83333333,43,10.75,68.57142857,17.14285714,10,2.5,46.22619048
360125,60,15,26,6.5,73.33333333,18.33333333,0,0,39.83333333
360131,0,0,41,10.25,80,20,10,2.5,32.75
360132,43.33333333,10.83333333,52,13,66.66666667,16.66666667,10,2.5,43
360133,76.66666667,19.16666667,39,9.75,45.71428571,11.42857143,0,0,40.3452381
360134,53.33333333,13.33333333,31,7.75,45.71428571,11.42857143,20,5,37.51190476
360137,86.66666667,21.66666667,31,7.75,31.42857143,7.857142857,0,0,37.27380952
360141,46.66666667,11.66666667,18,4.5,67.14285714,16.78571429,0,0,32.95238095
360143,80,20,35,8.75,40,10,0,0,38.75
360144,93.33333333,23.33333333,32,8,61.66666667,15.41666667,0,0,46.75
360145,80,20,24,6,54.28571429,13.57142857,0,0,39.57142857
360147,46.66666667,11.66666667,18,4.5,27.14285714,6.785714286,10,2.5,25.45238095
360148,40,10,60,15,100,25,40,10,60
360150,50,12.5,66,16.5,68.33333333,17.08333333,0,0,46.08333333
360151,60,15,22,5.5,60,15,10,2.5,38
360152,66.66666667,16.66666667,21,5.25,50,12.5,20,5,39.41666667
360155,100,25,59,14.75,54.28571429,13.57142857,10,2.5,55.82142857
360156,23.33333333,5.833333333,38,9.5,80,20,20,5,40.33333333
360159,26.66666667,6.666666667,23,5.75,54.28571429,13.57142857,0,0,25.98809524
360161,23.33333333,5.833333333,11,2.75,64.28571429,16.07142857,0,0,24.6547619
360163,46.66666667,11.66666667,61,15.25,31.42857143,7.857142857,10,2.5,37.27380952
360170,66.66666667,16.66666667,39,9.75,80,20,10,2.5,48.91666667
360172,100,25,40,10,58.57142857,14.64285714,0,0,49.64285714
360174,26.66666667,6.666666667,31,7.75,73.33333333,18.33333333,0,0,32.75
360175,45,11.25,14,3.5,74,18.5,0,0,33.25
360179,23.33333333,5.833333333,23,5.75,44.28571429,11.07142857,0,0,22.6547619
360180,100,25,58,14.5,38.33333333,9.583333333,10,2.5,51.58333333
360185,30,7.5,34,8.5,52.85714286,13.21428571,0,0,29.21428571
360189,5,1.25,56,14,70,17.5,10,2.5,35.25
360192,76.66666667,19.16666667,47,11.75,64.28571429,16.07142857,0,0,46.98809524
360197,10,2.5,44,11,70,17.5,0,0,31
360203,26.66666667,6.666666667,70,17.5,68.57142857,17.14285714,30,7.5,48.80952381
360210,25,6.25,55,13.75,57.5,14.375,20,5,39.375
360211,63.33333333,15.83333333,21,5.25,28.57142857,7.142857143,10,2.5,30.72619048
360218,30,7.5,25,6.25,70,17.5,40,10,41.25
360230,100,25,28,7,32.85714286,8.214285714,10,2.5,42.71428571
360234,70,17.5,41,10.25,71.42857143,17.85714286,0,0,45.60714286
360236,36.66666667,9.166666667,35,8.75,65,16.25,20,5,39.16666667
360239,46.66666667,11.66666667,56,14,58.33333333,14.58333333,0,0,40.25
360259,53.33333333,13.33333333,48,12,81.66666667,20.41666667,20,5,50.75
360262,60,15,67,16.75,75,18.75,10,2.5,53
360270,15,5,95,31.66666667,Not Available,Not Available,30,10,46.66666667
360276,46.66666667,11.66666667,20,5,61.42857143,15.35714286,0,0,32.02380952
360348,35,8.75,63,15.75,57.5,14.375,0,0,38.875
360352,Not Available,Not Available,100,33.33333333,76.66666667,25.55555556,0,0,58.88888889
